airfoil
1.000083999999999973e+00 1.257000000000000088e-03
9.985570000000000279e-01 1.575000000000000011e-03
9.939839999999999787e-01 2.524000000000000202e-03
9.863920000000000465e-01 4.086000000000000222e-03
9.758250000000000535e-01 6.231000000000000427e-03
9.623429999999999485e-01 8.921999999999999376e-03
9.460269999999999513e-01 1.210999999999999924e-02
9.269709999999999894e-01 1.574000000000000052e-02
9.052869999999999528e-01 1.975199999999999873e-02
8.811039999999999983e-01 2.407899999999999971e-02
8.545650000000000190e-01 2.865300000000000138e-02
8.258299999999999530e-01 3.340400000000000313e-02
7.950690000000000257e-01 3.826000000000000234e-02
7.624689999999999523e-01 4.314899999999999985e-02
7.282279999999999864e-01 4.800000000000000100e-02
6.925540000000000029e-01 5.274100000000000316e-02
6.556650000000000533e-01 5.730199999999999877e-02
6.177880000000000038e-01 6.161500000000000310e-02
5.791549999999999754e-01 6.560900000000000065e-02
5.400080000000000435e-01 6.922000000000000375e-02
5.005880000000000329e-01 7.238100000000000089e-02
4.611430000000000251e-01 7.503400000000000347e-02
4.219209999999999905e-01 7.712199999999999611e-02
3.830319999999999836e-01 7.857400000000000495e-02
3.446799999999999864e-01 7.919800000000000451e-02
3.072889999999999788e-01 7.894099999999999728e-02
2.711060000000000136e-01 7.780199999999999616e-02
2.363709999999999978e-01 7.579400000000000026e-02
2.033129999999999937e-01 7.294699999999999795e-02
1.721509999999999985e-01 6.930899999999999561e-02
1.430879999999999930e-01 6.494099999999999873e-02
1.163129999999999997e-01 5.991799999999999904e-02
9.199599999999999445e-02 5.432499999999999829e-02
7.028900000000000425e-02 4.825700000000000128e-02
5.132400000000000156e-02 4.180799999999999794e-02
3.521400000000000224e-02 3.507600000000000301e-02
2.205100000000000116e-02 2.815199999999999994e-02
1.190699999999999918e-02 2.111999999999999988e-02
4.832999999999999623e-03 1.404900000000000072e-02
8.599999999999999789e-04 6.996999999999999748e-03
0.000000000000000000e+00 0.000000000000000000e+00
2.223000000000000149e-03 -6.688999999999999634e-03
7.479000000000000405e-03 -1.282800000000000086e-02
1.572300000000000086e-02 -1.840400000000000022e-02
2.689199999999999924e-02 -2.340800000000000172e-02
4.090599999999999792e-02 -2.782600000000000004e-02
5.766899999999999804e-02 -3.165099999999999858e-02
7.707100000000000062e-02 -3.487799999999999928e-02
9.898700000000000554e-02 -3.750699999999999867e-02
1.232810000000000017e-01 -3.954599999999999782e-02
1.498049999999999937e-01 -4.101300000000000084e-02
1.784010000000000040e-01 -4.193399999999999905e-02
2.089020000000000044e-01 -4.234600000000000170e-02
2.411310000000000120e-01 -4.229399999999999826e-02
2.749039999999999817e-01 -4.183400000000000313e-02
3.100280000000000258e-01 -4.102700000000000097e-02
3.463030000000000275e-01 -3.994099999999999734e-02
3.835219999999999740e-01 -3.864399999999999780e-02
4.216440000000000188e-01 -3.717399999999999871e-02
4.603970000000000007e-01 -3.544400000000000328e-02
4.994120000000000226e-01 -3.349300000000000194e-02
5.384510000000000129e-01 -3.137299999999999811e-02
5.772789999999999866e-01 -2.913800000000000071e-02
6.156580000000000386e-01 -2.683299999999999921e-02
6.533520000000000438e-01 -2.450000000000000094e-02
6.901289999999999925e-01 -2.217200000000000074e-02
7.257620000000000182e-01 -1.987999999999999837e-02
7.600289999999999546e-01 -1.764900000000000149e-02
7.927159999999999762e-01 -1.549900000000000062e-02
8.236189999999999900e-01 -1.344799999999999988e-02
8.525409999999999933e-01 -1.150999999999999940e-02
8.793020000000000280e-01 -9.700999999999999554e-03
9.037300000000000333e-01 -8.033000000000000210e-03
9.256689999999999641e-01 -6.519999999999999754e-03
9.449790000000000134e-01 -5.173999999999999780e-03
9.615359999999999463e-01 -4.008000000000000278e-03
9.752319999999999878e-01 -3.034999999999999937e-03
9.859780000000000211e-01 -2.265000000000000086e-03
9.937049999999999494e-01 -1.708000000000000100e-03
9.983610000000000539e-01 -1.369999999999999907e-03
9.999160000000000270e-01 -1.257000000000000088e-03
